Designator,Mid X,Mid Y,Rotation,Layer
C1,129.89,-98.02,90.0,top
C10,130.65,-111.0,270.0,top
C11,129.73,-111.0,270.0,top
C12,128.81,-111.0,270.0,top
C13,127.89,-111.0,270.0,top
C14,126.97,-111.0,270.0,top
C15,120.15,-109.64,180.0,top
C16,139.41,-97.4,180.0,bottom
C2,134.7,-102.23,0.0,top
C3,133.05,-104.29,0.0,bottom
C4,128.59,-105.09,270.0,top
C5,134.71,-100.77,180.0,top
C6,131.36,-98.02,270.0,top
C7,133.41,-111.0,270.0,top
C8,132.49,-111.0,270.0,top
C9,131.57,-111.0,270.0,top
D1,136.25,-112.81,0.0,top
J1,118.79,-102.6,270.0,top
J3,128.4,-114.35,0.0,top
J4,144.0,-117.75,0.0,top
J5,156.5,-117.75,0.0,top
J6,169.0,-117.75,0.0,top
L1,132.09,-101.79,90.0,top
L2,130.17,-105.36,90.0,top
L3,132.94,-98.29,90.0,top
R1,130.13,-100.6,0.0,bottom
R10,122.0,-109.64,0.0,top
R11,119.55,-113.14,180.0,top
R12,121.45,-113.14,0.0,top
R13,117.25,-112.4,0.0,top
R14,117.25,-111.44,0.0,top
R15,143.33,-114.09,180.0,bottom
R16,145.19,-114.09,180.0,bottom
R17,155.84,-114.04,180.0,bottom
R18,157.69675,-114.04,180.0,bottom
R19,168.36,-114.08,180.0,bottom
R2,128.69,-98.58,90.0,top
R20,170.22,-114.08,180.0,bottom
R21,138.21,-113.15,90.0,top
R22,145.71,-104.6,180.0,bottom
R23,144.24,-103.65,0.0,bottom
R24,143.85,-104.61,0.0,bottom
R25,145.75,-105.55,180.0,bottom
R26,146.1,-103.47,180.0,bottom
R3,135.65,-105.75,90.0,top
R4,135.65,-103.89,90.0,top
R5,134.81,-97.26,180.0,bottom
R6,136.67,-97.48,180.0,bottom
R7,125.7,-111.0,90.0,top
R8,124.75,-111.0,90.0,top
R9,123.8,-111.0,90.0,top
U1,150.0,-104.75,270.0,top
U10,162.97,-116.68,90.0,top
U11,139.09,-104.8,180.0,top
U2,129.54,-101.56,270.0,top
U3,133.07,-105.31,180.0,top
U4,135.84,-98.2425,180.0,top
U5,120.5,-111.39,180.0,top
U6,136.67,-116.68,180.0,top
U7,169.5,-104.75,90.0,top
U8,150.4875,-118.6725,90.0,top
U9,150.4675,-116.1825,90.0,top
Y1,139.95,-98.35,0.0,top
